Rang,Nom,Bayer,Type,Magnitude,Distance,Sources
13,Aldébaran,$\alpha$ $\tau$,K5 III,+0.85,65,(en) $\alpha$ $\tau$ [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
14,(Capella B),$\alpha$2 Aur = $\alpha$ Aur B,G0 III,+0.96,42,(en) $\alpha$2 Aur [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
15,Spica (L'Épi),$\alpha$ Vir,B1 III-IV,+1.04,260,(en) $\alpha$ Vir [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
16,Antarès,$\alpha$ Sco,M1 Ib,+1.09,600,(en) $\alpha$ Sco [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
17,Pollux,$\beta$ Gem,K0 IIIb,+1.15,34,(en) $\beta$ Gem [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
18,Fomalhaut,$\alpha$ PsA,A3 V,+1.16,25,(en) $\alpha$ PsA [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
19,Deneb,$\alpha$ Cyg,A2 Iae,+1.25,1 550,(en) $\alpha$ Cyg [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
20,Mimosa,$\beta$ Cru,B0.5 IV,+1.30,350,(en) $\beta$ Cru [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
21,Toliman,$\alpha$2 Cen = $\alpha$ Cen B,K1- V,+1.33,4,(en) $\alpha$2 Cen [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
22,Régulus,$\alpha$ Leo v,B7 V,+1.35,77,(en) $\alpha$ Leo [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
23,Acrux,$\alpha$1 Cru,B0.5 IV,+1.40,320,(en) $\alpha$1 Cru [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
24,Adhara,$\epsilon$ CMa,B2 II,+1.51,430,(en) $\epsilon$ CMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
25,Shaula,$\lambda$ Sco,B1.5 IV,+1.62,700,(en) $\lambda$ Sco [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
26,Gacrux,$\gamma$ Cru,M4 III,+1.63,88,(en) $\gamma$ Cru [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
27,Bellatrix,$\gamma$ Ori,B2 III,+1.64,240,(en) $\gamma$ Ori [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
28,Elnath,$\beta$ $\tau$,B7 III,+1.68,130,(en) $\beta$ $\tau$ [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
29,Miaplacidus,$\beta$ Car,A2 IV,+1.70,110,(en) $\beta$ Car [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
30,Alnilam,$\epsilon$ Ori,B0 Iab,+1.70,1 300,(en) $\epsilon$ Ori [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
31,Alnitak A,$\zeta$1 Ori,O9 Iab,+1.70,820,(en) $\zeta$1 Ori [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
32,Al Na'ir,$\alpha$ Gru,B7 IV,+1.74,100,(en) $\alpha$ Gru [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
33,Alioth,$\epsilon$ UMa,A0pCr,+1.76,81,(en) $\epsilon$ UMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
34,Dubhé A,$\alpha$1 UMa,K0 III,+1.79,120,(en) $\alpha$1 UMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
35,Kaus Australis,$\epsilon$ Sgr,B9.5 III,+1.80,140,(en) $\epsilon$ Sgr [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
36,Suhail Muhlif A,$\gamma$12 Vel,O9,+1.81,840,(en) $\gamma$12 Vel [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
37,Mirfak,$\alpha$ Per,F5 Ib,+1.82,590,(en) $\alpha$ Per [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
38,Wezen,$\delta$ CMa,F8 Ia,+1.84,1 800,(en) $\delta$ CMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
39,Alkaïd,$\eta$ UMa,B3V SB,+1.85,100,(en) $\eta$ UMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
40,Sargas,$\theta$ Sco,F1 II,+1.86,270,(en) $\theta$ Sco [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
41,Alhéna,$\gamma$ Gem,A0 IV,+1.90,100,(en) $\gamma$ Gem [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
42,Peacock,$\alpha$ Pav,B2 IV,+1.91,180,(en) $\alpha$ Pav [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
43,Atria,$\alpha$ TrA,K2 IIb-IIIa,+1.92,420,(en) $\alpha$ TrA [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
44,Castor A,$\alpha$1 Gem,A1 V,+1.96,52,(en) $\alpha$1 Gem [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
45,Murzim,$\beta$ CMa,B1 II-III,+1.98,500,(en) $\beta$ CMa [archive] sur la base de données Simbad du Centre de données astronomiques de Strasbourg.
